old_team,heir_team
AFM,AFM
AGS,AGS
ATS,ATS
Adams,Adams
Alfa Romeo,LDS-Alfa Romeo
AlphaTauri,AlphaTauri
Alpine F1 Team,Alpine F1 Team
Alta,Alta
Amon,Amon
Andrea Moda,Andrea Moda
Apollon,Apollon
Arrows,Arrows
Arzani-Volpini,Arzani-Volpini
Aston Butterworth,Aston Butterworth
Aston Martin,Aston Martin
BAR,BAR
BMW,BMW
BMW Sauber,Sauber
BRM,BRM
BRM-Ford,Brabham-Ford
BRP,BRP
Behra-Porsche,Porsche
Bellasi,Bellasi
Benetton,Benetton
Boro,Boro
Brabham,BRM-Ford
Brabham-Alfa Romeo,March-Alfa Romeo
Brabham-BRM,Brabham-Ford
Brabham-Climax,BRM-Ford
Brabham-Ford,BRM-Ford
Brabham-Repco,BRM-Ford
Brawn,Brawn
Bromme,Bromme
Bugatti,Bugatti
Caterham,Caterham
Christensen,Christensen
Cisitalia,Cisitalia
Coloni,Coloni
Connaught,Connaught
Connew,Connew
Cooper,Cooper-ATS
Cooper-ATS,Cooper-OSCA
Cooper-Alfa Romeo,McLaren-Alfa Romeo
Cooper-BRM,Cooper-Ford
Cooper-Borgward,Cooper-Ford
Cooper-Castellotti,Cooper-Ferrari
Cooper-Climax,Cooper-OSCA
Cooper-Ferrari,Cooper-Ferrari
Cooper-Ford,Cooper-Borgward
Cooper-Maserati,Cooper-Ferrari
Cooper-OSCA,Cooper-ATS
Dallara,Dallara
De Tomaso,De Tomaso-Osca
De Tomaso-Alfa Romeo,LDS-Alfa Romeo
De Tomaso-Ferrari,De Tomaso-Osca
De Tomaso-Osca,De Tomaso
Deidt,Deidt
Del Roy,Del Roy
Derrington,Derrington
Dunn,Dunn
EMW,EMW
ENB,ENB
ERA,ERA
Eagle,Eagle
Eagle-Climax,LDS-Climax
Eagle-Weslake,Eagle-Weslake
Elder,Elder
Embassy Hill,Embassy Hill
Emeryson,Emeryson
Ensign,Ensign
Epperly,Epperly
Euro Brun,Euro Brun
Ewing,Ewing
Ferguson,Ferguson
Ferrari,Ferrari
Fittipaldi,Fittipaldi
Fondmetal,Fondmetal
Footwork,Footwork
Force India,Force India
Forti,Forti
Frazer Nash,Frazer Nash
Fry,Fry
Gilby,Gilby
Gordini,Gordini
HRT,HRT
HWM,HWM
Haas F1 Team,Haas F1 Team
Hall,Hall
Hesketh,Hesketh
Honda,Honda
Iso Marlboro,Iso Marlboro
JBW,JBW
Jaguar,Jaguar
Jordan,Jordan
Kauhsen,Kauhsen
Klenk,Klenk
Kojima,Kojima
Kurtis Kraft,Kurtis Kraft
Kuzma,Kuzma
LDS,LDS
LDS-Alfa Romeo,Alfa Romeo
LDS-Climax,Lotus-Climax
LEC,LEC
Lambo,Lambo
Lancia,Lancia
Langley,Langley
Larrousse,Larrousse
Lesovsky,Lesovsky
Leyton House,Leyton House
Life,Life
Ligier,Ligier
Lola,Lola
Lotus,Lotus F1
Lotus F1,Lotus-Ford
Lotus-BRM,Lotus-Ford
Lotus-Borgward,Lotus-Ford
Lotus-Climax,LDS-Climax
Lotus-Ford,Lotus F1
Lotus-Maserati,Maserati
Lotus-Pratt &amp; Whitney,Lotus-Pratt &amp; Whitney
Lyncar,Lyncar
MBM,MBM
MF1,MF1
Maki,Maki
Manor Marussia,Marussia
March,March-Ford
March-Alfa Romeo,McLaren-Alfa Romeo
March-Ford,Matra-Ford
Marchese,Marchese
Martini,Martini
Marussia,Manor Marussia
Maserati,Lotus-Maserati
Matra,Matra-Ford
Matra-Ford,March-Ford
McGuire,McGuire
McLaren,McLaren
McLaren-Alfa Romeo,March-Alfa Romeo
McLaren-BRM,McLaren-BRM
McLaren-Ford,McLaren-Ford
McLaren-Serenissima,McLaren-BRM
Mercedes,Mercedes
Merzario,Merzario
Meskowski,Meskowski
Milano,Milano
Minardi,Minardi
Moore,Moore
Nichels,Nichels
OSCA,OSCA
Olson,Olson
Onyx,Onyx
Osella,Osella
Pacific,Pacific
Pankratz,Pankratz
Parnelli,Parnelli
Pawl,Pawl
Penske,Penske
Phillips,Phillips
Politoys,Politoys
Porsche,Behra-Porsche
Prost,Prost
Protos,Protos
RAM,RAM
RB F1 Team,RB F1 Team
RE,RE
Racing Point,Racing Point
Rae,Rae
Rebaque,Rebaque
Red Bull,Red Bull
Renault,Renault
Rial,Rial
Sauber,BMW Sauber
Scarab,Scarab
Schroeder,Schroeder
Scirocco,Scirocco
Shadow,Shadow-Ford
Shadow-Ford,Shadow
Shadow-Matra,Shadow-Ford
Shannon,Shannon
Sherman,Sherman
Simca,Simca
Simtek,Simtek
Snowberger,Snowberger
Spirit,Spirit
Spyker,Spyker MF1
Spyker MF1,Spyker
Stebro,Stebro
Stevens,Stevens
Stewart,Stewart
Super Aguri,Super Aguri
Surtees,Surtees
Sutton,Sutton
Talbot-Lago,Talbot-Lago
Team Lotus,Lotus-Ford
Tec-Mec,Tec-Mec
Tecno,Tecno
Theodore,Theodore
Token,Token
Toleman,Toleman
Toro Rosso,Toro Rosso
Toyota,Toyota
Trevis,Trevis
Trojan,Trojan
Turner,Turner
Tyrrell,Tyrrell
Vanwall,Vanwall
Veritas,Veritas
Virgin,Virgin
Watson,Watson
Wetteroth,Wetteroth
Williams,Williams
Wolf,Wolf
Zakspeed,Zakspeed
